Op_Seq,BOM_Target(EA),Item_Description,Ref_Des,PDF_Actual(EA),Actual_fond(EA),Not_found(EA),Result
150,13.0,IC_LOGIQUE AHC 74VHC541 TSSOP20,"XMN92,XMN93,XMN94,XMN95,XMN96,XMN97,XMN98,XMN101,XMN102,XMN103,XMN104,XMN105,XMN106",,,,
150,2.0,IC_IC.CMS IST71024 SRAM 128Kx8 15NS SOJ32,"XMN56,XMN78",,,,
150,1.0,IC_COMMUTATEUR ANALOGIQUECOMMUT.HI9P0201 SPST SO16,XMA28,,,,
150,20.0,DIODE_DIODE CMS SSTPAD5 -55V 5PA SOT23,"XCR169,XCR170,XCR171,XCR172,XCR173,XCR174,XCR175,XCR179,XCR180,XCR181,XCR182,XCR183,XCR184,XCR185,XCR208,XCR209,XCR210,XCR214,XCR215,XCR216",,,,
150,10.0,IC_AMPLIFICATEUR SUIVEUR BUF634 250MA HI.SPEED BUFFER SO8,"XMA11,XMA12,XMA25,XMA26,XMA34,XMA38,XMA42,XMA61,XMA87,XMA88",,,,
150,1.0,IC_SMD AMP.I.C.2XOP AMP SO8 LT1112 2XAMPLI.OP.SO8,XMA33,,,,
150,4.0,IC_COMMUTATEUR ANALOGIQUE ADG419 ANALOG.SWITCH SPDT SO8,"XMA20,XMA27,XMA37,XMA48",,,,
150,10.0,IC_AMPLIFICATEUR OPERATIONNEL AD620 LOW POWER AOP SO8,"XMA73,XMA74,XMA75,XMA83,XMA84,XMA85,XMA112,XMA113,XMA116,XMA117",,,,
150,2.0,IC_IC.CMS DG408 8 CH. MULTIPLEX TSSOP16,"XMA70,XMA77",,,,
150,7.0,IC_IC.CMS DG403 DUAL ANALOG.SPDT SO16,"XMA22,XMA60,XMA71,XMA82,XMA91,XMA107,XMA115",,,,
150,4.0,"CAPACITOR_CONDENSATEUR CERAMIQUE I1206 NPO 1,8NF 5% 50V 7""","XC11,XC13,XC15,XC19",,,,
150,1.0,IC_IC.CMS AD586 REF.TENSION 5V+-5MA SO8,XMA35,,,,
150,16.0,DIODE_DIODE PROTEC.CMS SMBJ 7V5 5% DO214AA,"XCR176,XCR177,XCR178,XCR205,XCR206,XCR207,XCR212,XCR213,XCR237,XCR238,XCR240,XCR241,XCR242,XCR245,XCR246,XCR247",,,,
150,1.0,IC_IC.CMS 26LS34 QUAD DIF REC RS422 SO16,XMN50,,,,
150,7.0,"IC_AMPLIFICATEUR OPERATIONNEL LT1211 DUAL AOP 14MHZ SO8 13""","XMA9,XMA10,XMA24,XMA29,XMA36,XMA39,XMA51",,,,
